Material Name,Component Category,Density [kg/m³],Yield Strength [MPa],Ultimate Tensile Strength [MPa],Elongation at Break [%],Max Operating Temperature [°C],Notes
Mar-M-509 (As-Cast Stator RT),Turbine stator vanes,8850,860,1114,14.0,1100,Investment-cast cobalt alloy; high thermal resistance.
Mar-M-509 (LPBF Aged RT),Turbine stator vanes,8850,740,997,23.0,1100,LPBF printed and solution treated at 1250°C; recrystallized grain.
Mar-M-509 (As-Cast 870°C),Turbine stator vanes,8850,290,350,4.0,1100,Properties verified at 870°C; HP stator vanes.
Mar-M-302 (As-Cast RT),Turbine stator vanes,9200,200,320,10.0,1095,Co-Cr-W-Ta alloy; high thermal stability and impact resistance.
X-40 (As-Cast RT),Turbine stator vanes,8600,345,650,15.0,1100,Historic cobalt alloy; used for HP turbine nozzle guide vanes.
WI-52 (As-Cast RT),Turbine stator vanes,8870,386,674,12.0,1100,Co-Cr-W-Nb alloy; very high chemical stability at temperature.
Haynes 188 (Sheet Stator RT),Turbine stator vanes,8980,464,946,53.0,1095,Static vanes formed from thin welded sheet.
Haynes 188 (Sheet Stator 1000°C),Turbine stator vanes,8980,108,114,63.8,1095,Tensile properties verified at 1000°C.
Haynes 230 (Wrought Stator RT),Turbine stator vanes,8970,390,860,40.0,1150,Stator vanes and turbine transition ducts.
Inconel 617 (Wrought Stator RT),Turbine stator vanes,8440,275,660,18.0,1095,Excellent thermomechanical bending fatigue behavior.
